rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0043,0.0032,-5.9701,0.0,0.1,,,,,,,
0.0033,0.0078,-6.0128,0.0,0.1,,,,,,,
0.0018,0.002,-5.9886,0.0,0.1,,,,,,,
0.0059,0.0045,-6.0442,0.0,0.1,,,,,,,
,,,,,62633,2945,116000,6.0,7.0,1054,21.8655
0.0025,0.0042,-6.0726,0.0,0.1,,,,,,,
0.0038,0.0026,-6.062,0.0,0.1,,,,,,,
0.0022,0.0068,-5.9867,0.0,0.1,,,,,,,
0.0062,0.0066,-6.1346,0.0,0.1,,,,,,,
0.0012,0.0011,-6.072,0.0,0.1,,,,,,,
0.0049,0.0041,-6.0159,0.0,0.1,,,,,,,
0.0042,0.0057,-6.028,0.0,0.1,,,,,,,
0.0025,0.0043,-6.11,0.0,0.1,,,,,,,
0.0026,0.0025,-6.0665,0.0,0.1,,,,,,,
0.0044,0.0048,-6.1015,0.0,0.1,,,,,,,
0.002,0.002,-6.1337,0.0,0.1,,,,,,,
0.0027,0.0038,-6.089,0.0,0.1,,,,,,,
0.0041,0.0055,-6.0737,0.0,0.1,,,,,,,
0.0035,0.0062,-6.105,0.0,0.1,,,,,,,
,,,,,65083,3295,130000,6.0,7.0,1166,21.8107
0.0033,0.0027,-6.0808,0.0,0.1,,,,,,,
0.0022,0.0028,-6.1032,0.0,0.1,,,,,,,
0.0047,0.006,-6.1511,0.0,0.1,,,,,,,
0.0012,0.0027,-6.1572,0.0,0.1,,,,,,,
0.0045,0.0061,-6.1084,0.0,0.1,,,,,,,
0.0028,0.0031,-6.1317,0.0,0.1,,,,,,,
0.0045,0.0044,-6.184,0.0,0.1,,,,,,,
0.0017,0.0041,-6.1028,0.0,0.1,,,,,,,
0.0035,0.0021,-6.1535,0.0,0.1,,,,,,,
