rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,rl_loss/q_grad_norm,rl_loss/q_rnn_grad_norm,rl_loss/pi_grad_norm,rl_loss/pi_rnn_grad_norm,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
3.0943,3.0921,-3.3912,0.0,0.1,2.0114,0.7706,0.0,0.0,,,,,,,
3.0694,3.0668,-3.373,0.0,0.1,2.2556,0.9003,0.0,0.0,,,,,,,
2.7921,2.7911,-3.3073,0.0,0.1,2.1,0.4841,0.0,0.0,,,,,,,
3.1194,3.1156,-3.3099,0.0,0.1,4.6708,0.6133,0.0,0.0,,,,,,,
3.0516,3.0414,-3.35,0.0,0.1,4.1867,1.8642,0.0,0.0,,,,,,,
2.7878,2.7763,-3.31,0.0,0.1,2.0117,1.0184,0.0,0.0,,,,,,,
3.0084,3.0066,-3.3744,0.0,0.1,1.7303,0.6043,0.0,0.0,,,,,,,
3.0895,3.0861,-3.4301,0.0,0.1,1.7913,0.7216,0.0,0.0,,,,,,,
2.9826,2.9812,-3.4687,0.0003,0.1,1.7067,0.3984,0.0,0.0,,,,,,,
,,,,,,,,,37517,2945,116000,2.0,9.0,5999,4.359
3.0401,3.0366,-3.3654,0.0,0.1,1.9844,0.4891,0.0,0.0,,,,,,,
2.584,2.5817,-3.449,0.0,0.1,1.9884,0.4863,0.0,0.0,,,,,,,
2.9414,2.9393,-3.4671,0.0,0.1,3.8537,1.4477,0.0,0.0,,,,,,,
2.7523,2.7469,-3.4644,0.0,0.1,9.5024,3.5685,0.0,0.0,,,,,,,
2.8886,2.8849,-3.5102,0.0,0.1,1.8225,0.5897,0.0,0.0,,,,,,,
2.5736,2.5754,-3.471,0.0,0.1,1.7759,0.5116,0.0,0.0,,,,,,,
2.8846,2.8815,-3.5482,0.0,0.1,1.9729,0.8159,0.0,0.0,,,,,,,
2.6584,2.656,-3.5476,0.0,0.1,1.6859,0.5572,0.0,0.0,,,,,,,
2.8304,2.8257,-3.7291,0.0,0.1,1.8517,0.4948,0.0,0.0,,,,,,,
